Property,repo_path,severity,tag,subtag,description
249,e269b2c934ee,Medium,ERC1155,State Update Inconsistency,"The ERC1155Enumerable contract does not correctly update _currentIndex, _allTokens, and _allTokensIndex during token minting and burning. As a result, even when a token ID's supply drops to zero, its associated indices are retained, causing totalSupply() to return inaccurate results."
250,e269b2c934ee,Medium,ERC1155,State Update Inconsistency,"_removeTokenFromAllTokensEnumeration can never be called, because of wrong order of if statement and _idTotalSupply[id] -= amount;. This leads to totalSupply do not correctly minus 1 when all token amounts for a specific tokenId get burned."
251,e269b2c934ee,Medium,"Accounting Error, ERC20","Does not match with Doc, Fee On Transfer Token",whitelisting token0 and token1 ensuring no fee-on-transfer token is allowed when deploying a new Timeswap V2 Option pair contract
252,e269b2c934ee,Medium,Arithmetic,Rounding Error,"Due to the wrong calculation of short and long tokens during the leverage and deleverage process, the users can suffer financial loss while the protocol will lose fees"
253,e269b2c934ee,Medium,Input Validation,Invalid Validation,"The vulnerability in the add512 function arises from an incomplete overflow check. It only checks whether addendA1 > sum1, but fails to account for the case when addendA1 == sum1 and an overflow occurs in the lower 256 bits (sum0)."
254,e269b2c934ee,Medium,Logic Error,Implementation Error,"_ownedTokensIndex is SHARED by different owners, as a result, _removeTokenFromAllTokensEnumeration() might remove the wrong tokenId."
255,e269b2c934ee,Medium,Reentrancy,Violating CEI / Missing nonReentrant,"When an LP calls mint, the contract updates global fee growth (short, long0, long1) but fails to update the LP’s LiquidityPosition. This leads to a mismatch between the user's position and global state, potentially causing the LP to receive fewer fees."
256,5e41ded6a8cd,High,Input Validation,Bypass Mechanism,Calling MsgValueSimulator with non-zero msg.value triggers a self-call that bypasses onlySelf checks and may lead to unexpected behavior or stuck funds.
257,5e41ded6a8cd,Medium,DoS,Bad Condition,"Calling forceDeployOnAddress() without callConstructor sets the contract to constructing state permanently, making it behave like an EOA and preventing any function calls. This can silently break protocol logic and disable critical contracts."
258,5e41ded6a8cd,Medium,"Access Control, Input Validation","Bypass Mechanism, Invalid Validation","User transactions with non-zero ETH can trigger system contracts via rawCall, bypassing the intended isSystem restrictions and potentially enabling dangerous behavior."
259,5e41ded6a8cd,Medium,"DoS, Zksync","EVM Compatibility, payable / receive()","The fallback() function in DefaultAccount lacks payable, causing ETH transfers with unrecognized calldata to fail, breaking EVM compatibility and affecting protocol interoperability."
260,5e41ded6a8cd,Medium,Logic Error,Implementation Error,"Failed force deployments can trap ETH in the ContractDeployer contract, making the funds unrecoverable and unusable for future deployments."
261,9e1a7f778757,High,DoS,Bad Condition,"The moveLiquidity() function unconditionally removes the fromIndex from positionIndexes, even when only a partial LP amount was successfully moved. This causes the remaining LP to become inaccessible and frozen, leading to permanent fund lockup."
262,9e1a7f778757,High,DoS,Stale Value,"The moveLiquidity function incorrectly sets toPosition.depositTime to the source bucket's deposit time, which may be stale and not reflect the actual deposit state in the destination bucket. If the destination bucket has gone bankrupt after that time, the moved LPs will be considered defaulted and permanently inaccessible, resulting in irreversible fund loss."
263,9e1a7f778757,High,"Access Control, DoS",Out of Gas,"Anyone can attach insignificant liquidity positions to another user's Position NFT without permission, bloating the positionIndexes array. This can lead to DOS during reward calculations due to exceeding the gas limit and also prevent the NFT from being burned, locking the owner’s assets."
264,9e1a7f778757,High,Accounting Error,"Does not match with Doc, Precision Loss","In Ajna Grants, the 10% reward allocated to delegating voters is actually spent, but not accounted for when updating the treasury after a funding round. This causes the contract to double-count the 10% delegation rewards, leading to inaccurate treasury values and potential long-term precision errors or underfunded distributions."
265,9e1a7f778757,High,"Arithmetic, DoS",Bad Condition,"In Ajna’s RewardsManager, an incorrect calculation of updatedRewards_ occurs when rewardsClaimedInEpoch already exceeds the pool’s rewardsCap, causing an underflow during subtraction."
266,9e1a7f778757,High,DoS,No Recovery Mechanism,"In PositionManager.memorializePositions, if a bucket is found bankrupt after a prior deposit, the system zeroes out the lender’s previously tracked LP balance — even if there are still unclaimed rewards."
267,9e1a7f778757,High,Accounting Error,Implementation Error,"The memorializePositions function credits the full LP balance to the NFT while the Pool only deducts the approved allowance.
By repeating minimal approvals until the Pool balance is zero, a user can exponentially inflate their NFT position to claim excessive rewards and governance power."
268,9e1a7f778757,High,Accounting Error,"Implementation Error, No Recovery Mechanism","If the RewardsManager contract is underfunded, claims are capped by its current token balance, causing accumulated rewards to be lost.
Unclaimed rewards cannot be retrieved later, leading to permanent reward loss."
269,9e1a7f778757,High,Input Validation,Invalid Validation,"An attacker can call moveLiquidity to move funds into a bankrupted bucket, which is not validated by the contract.
This effectively revives the bucket and allows the attacker to redeem wiped-out LP shares, stealing value from other users."
270,9e1a7f778757,High,Input Validation,"Asset Theft, Invalid Validation","Because _claimRewards does not validate isEpochClaimed, a user can repeatedly trigger it via moveStakedLiquidity to claim the same epoch’s rewards multiple times.
This enables double-claiming and drains protocol funds."
271,9e1a7f778757,High,Input Validation,Invalid Validation,"updateBucketExchangeRatesAndClaim fails to validate pool_ as a legitimate pool, allowing an attacker to supply a malicious contract and drain all reward tokens."
272,9e1a7f778757,Medium,Input Validation,Missing Upper/Lower Bound Check,"Because no minimum voting threshold exists, an attacker can submit a self-transfer proposal with dust votes during low activity periods to capture unallocated funds."
273,9e1a7f778757,Medium,Governance,Centralization Risk,"Delegate rewards are distributed quadratically by vote count, giving whales a disproportionate share while discouraging smaller delegates.
This undermines decentralization and reduces governance participation from less powerful voters."
274,9e1a7f778757,Medium,Arithmetic,Precision Loss,"_updateBucketExchangeRateAndCalculateRewards performs division before multiplication, causing precision loss and systematically underpaying user rewards.
The error grows with the amount of interest earned, making larger rewards more inaccurate."
275,9e1a7f778757,Medium,MEV,Front Run,"The updateBucketExchangeRatesAndClaim function is vulnerable to MEV frontrunning, allowing bots to consistently capture update rewards.
This results in unfair reward distribution and discourages honest users from maintaining bucket states."
276,9e1a7f778757,Medium,Arithmetic,Precision Loss,Calculating new rewards is susceptible to precision loss due to division before multiplication.
277,9e1a7f778757,Medium,Solidity Version,Misuse of Dependency,"getPositionIndexesFiltered is compiled with Solidity 0.8.14 and hits a known optimizer bug where inline assembly memory writes may be removed.
This can corrupt the returned array length and break function correctness."
278,9e1a7f778757,Medium,Governance,Bad Condition,"Due to snapshot inconsistencies, screeningVote and voteExtraordinary grant different voting power when called at the exact start block versus later blocks.
This allows attackers to mint or dispose tokens at the distribution start block to unfairly manipulate voting power."
279,9e1a7f778757,Medium,Governance,"Bypass Mechanism, Incorrect Parameter","In the Extraordinary Funding mechanism, thresholds depend on the live total supply, allowing attackers to burn tokens and reduce the required quorum.
This lets under-supported proposals pass and siphon treasury funds, posing a severe risk to protocol reserves."
280,9e1a7f778757,Medium,"DoS, Input Validation","Front Run, Invalid Validation","Because proposeExtraordinary excludes endBlock from the proposal hash, an attacker can frontrun with the same parameters but a malicious expiry block."
281,9e1a7f778757,Medium,Arithmetic,Unsafe Downcast,"RewardsManager unsafely casts uint256 values to uint128 when storing LP balances and exchange rates, creating overflow risk.
This can lead to incorrect reward calculations, lost rewards, or transaction failures in extreme cases."
282,9e1a7f778757,Medium,"Governance, Input Validation",Invalid Validation,"StandardFunding.fundingVote lets users who skipped the screening stage vote in the funding stage, yet these users cannot claim rewards.
This locks a portion of rewards permanently, causing mismatches between the treasury balance and actual distributable rewards."
283,9e1a7f778757,Medium,Governance,"Does not match with Doc, Incorrect Parameter","The voting threshold in Extraordinary Proposals is miscalculated by treating treasury token requests as non-treasury ratios, resulting in lower-than-expected requirements. This flaw enables attackers to drain the treasury over multiple proposals without needing full non-treasury support."
284,9e1a7f778757,Medium,EIP4494,Not EIP Compliant,"PositionManager and PermitERC721 fail to comply with EIP-4494 by omitting required interfaces and functions, breaking signature tracking and compatibility. As a result, tools and contracts cannot detect ERC721 permit support, undermining usability and standard conformance."
285,9e1a7f778757,Medium,"Arithmetic, DoS",State Update Inconsistency,"PositionManager.moveLiquidity may underflow and revert if vars.lpbAmountFrom exceeds fromPosition.lps, which can happen due to accrued interest or price shifts. This stems from failing to clear outdated LP records post-liquidity move."
286,2c2d03025183,High,"ERC777, Reentrancy",Violating CEI / Missing nonReentrant,"With a very large cross chain token transfer, a malicious party can use this to steal the same amount from the express receive executor."
287,2c2d03025183,High,"ERC777, Reentrancy","ERC777 Callback, Violating CEI / Missing nonReentrant",A malicious actor can trick a TokenManager into thinking that a bigger amount of tokens were transferred.
288,2c2d03025183,Medium,DoS,Whale,"A large token holder can send back and forth tokens using the flow limit to the capacity in the start of every epoch, making the system unusable(DOS)"
289,2c2d03025183,Medium,"DoS, ERC777",ERC777 Callback,"when token is ERC777 token, the token receiver can manipulate its balance in order to increase flow in more than it should be"
290,2c2d03025183,Medium,DoS,"Case Sensitive, Implementation Error","Different EVM and non-EVM chains support different address formats (e.g., case sensitivity), which may cause validateSender to fail."
291,2c2d03025183,Medium,DoS,payable / receive(),"InterchainProposalExecutor._execute is called from a non-payable function, and thus native coins cannot be passed in the call "
292,2c2d03025183,Medium,Cross-Chain,Incorrect Parameter,"the refund address is error, using msg.sender directly"
293,2c2d03025183,Medium,Access Control,Centralization Risk,"After the ownership of the RemoteAddressValidator contract is transferred, the trusted addresses can no longer be modified. If the previous owner had added a malicious contract, it would still be considered valid and could deploy new token managers and tokens."
294,2c2d03025183,Medium,"Governance, Multisig",Nonce,"When the vote threshold is met, the onlySigners modifier resets the counter and triggers an external call. If all signers vote within the same block, it may lead to double counting."
295,2c2d03025183,Medium,Cross-Chain,Token Decimal,Insufficient support for tokens with different decimal places across chains can lead to loss of funds during cross-chain bridging.
296,2c2d03025183,Medium,"Cross-Chain, Opensea",EVM Compatibility,"Different chains use different contract address formats, which can cause issues during cross-chain operations. Contracts may fail to interpret addresses correctly, making it impossible to whitelist addresses from certain chains. Additionally, non-EVM chains may be unable to interact with EVM-based chains."
297,2c2d03025183,Medium,"Accounting Error, ERC20",Fee On Transfer Token,safeTransferFrom() does not ensure that the actual number of tokens received is the same as the input amount.
298,22ad8fd6e044,Medium,Re-org Attack,State Update Inconsistency,Identifying publications using its ID makes the protocol vulnerable to blockchain re-orgs
299,22ad8fd6e044,Medium,Input Validation,State Update Inconsistency,"tryMigrate() function does not check whether followerProfileId is already following any data. If a user calls follow() again after upgrading to V2, it may result in the same user following the same data twice, causing _followerCount to be incorrectly incremented and the state of _followDataByFollowTokenId to become inconsistent."
300,22ad8fd6e044,Medium,Access Control,Implementation Error,"The contract fails to properly check user permissions, preventing users from performing intended actions. When a user attempts to follow using a wrapped followTokenId, if the user is not the owner of the corresponding follow NFT or has not been authorized, they are unable to unfollow. This means that users cannot control their own follow actions without owning the respective follow NFT."
301,22ad8fd6e044,Medium,Pause,State Update Inconsistency,"When the system is paused, users should not be able to execute the unfollow() operation due to the whenNotPaused modifier. However, users can bypass this restriction by calling removeFollower() or burn() in the FollowNFT contract, which lack the whenNotPaused modifier, allowing them to unfollow even while the system is paused."
302,22ad8fd6e044,Medium,DoS,Duplicate Value,"There is a lack of proper operation restrictions for whitelisted profile creators, allowing them to mint handles corresponding to V1 Profiles. If someone else mints the same handle after the V2 upgrade, the corresponding V1 profile will be permanently unable to be migrated using batchMigrateProfiles()."
303,22ad8fd6e044,Medium,EIP712,Not EIP Compliant,"In MetaTxLib.validatePostSignature(), the postParams.actionModules array is not encoded before being passed into abi.encode. In MetaTxLib.validateChangeDelegatedExecutorsConfigSignature(), delegatedExecutors and approvals arrays are encoded using abi.encodePacked() without wrapping in keccak256. These encoding methods deviate from EIP-712 standards, causing calls to revert."
304,22ad8fd6e044,Medium,EIP712,Not EIP Compliant,"The signature verification of the typehash differs from the EIP-712 standard, causing calls to revert."
305,22ad8fd6e044,Medium,Access Control,"Bypass Mechanism, Implementation Error","In approve(), the token guardian check is insufficient. Even if the owner has enabled the token guardian, an already authorized operator can still call the approve() function to set token allowances, meaning the owner's tokens could be controlled by an unauthorized operator."
306,22ad8fd6e044,Medium,Input Validation,"Bypass Mechanism, Invalid Validation","Users cannot follow themselves on V2, but users who own a follow NFT from V1 can call FollowNFT::tryMigrate() on V2 to follow themselves."
307,22ad8fd6e044,Medium,Input Validation,"Bypass Mechanism, Invalid Validation","By calling FollowNFT::tryMigrate(), a user can follow themselves without the consent of others."
308,22ad8fd6e044,Medium,Input Validation,"Bypass Mechanism, Invalid Validation","Through executing batchMigrateFollows, blocked followers can continue to follow, because FollowNFT.tryMigrate does not check whether the user has been blocked."
309,2b7ce0d78309,Medium,"DoS, Liquidation",ERC777 Callback,The protocol allows ERC-777 tokens to be used as emission tokens.A liquidated user can trigger tokenReceived in ERC-777 to revert the entire liquidation.
310,2b7ce0d78309,Medium,"Chainlink, Oracle",Invalid Validation,"The contract does not use Chainlink Aggregator’s minAnswer / maxAnswer to validate returned prices (most data feeds no longer use these according to Chainlink docs).
"
311,2b7ce0d78309,Medium,"DAO, DoS","Invalid Validation, State Update Inconsistency","Improper verification logic for cross-chain governance messages (VAA). If the guardian set changes during the delay period, the same VAA may fail verification in executeProposal because Wormhole checks VAA validity against the current active guardian set.
"
312,2b7ce0d78309,Medium,"DoS, ERC20",Refund Failed,"The contract sends rewards for each emissionConfig’s emissionToken. If the emissionToken is malicious (e.g., reverts on transfer), the entire transaction fails."
313,2b7ce0d78309,Medium,"Access Control, DAO",Centralization Risk,"The guardian has pause authority, but the contract does not override transferOwnership. Only the current guardian (owner) can change the guardian, preventing normal ownership transfer."
314,2b7ce0d78309,Medium,"DAO, DoS, Pause",Invariant Violation," grantGuardiansPause lacks a whenNotPaused check, allowing it to execute while paused, setting guardianPauseAllowed = true and bypassing permissionlessUnpause and togglePause asserts.
The guardian can call renounceOwnership to remove themselves as owner, and the contract has no mechanism for governance to reclaim ownership.
impact: If the sequence pause → grantGuardianPause → renounceOwnership occurs, the contract cannot be unpaused via permissionlessUnpause. No one can control TemporalGovernor since the owner is address(0), and only the owner can call revokeGuardian. The contract becomes permanently paused, unable to process any proposals."
315,2b7ce0d78309,Medium,"Cross-Chain, Input Validation",Invalid Validation," The guardian can execute cross-chain proposals while the contract is paused and does not check whether the intendedRecipient is the contract itself.
As long as the cross-chain proposal’s calldata matches the expected format, the guardian can bypass validation and execute the proposal even if intendedRecipient points to another contract."
316,2b7ce0d78309,Medium,"Access Control, DAO, Pause",Does not match with Doc,"fastTrackProposalExecution lacks the whenPaused modifier.
The owner can bypass the normal voting process and execute any proposal even when the contract is not paused, contrary to the intended “use only when paused” design."
317,2b7ce0d78309,Medium,DoS,payable / receive()," If a proposal includes transferring native tokens to a target address, execution fails because the contract lacks a receive or payable function.
impact: The proposal reverts during execution."
318,2b7ce0d78309,Medium,DoS,"Hardcoded Parameter, Token Decimal","During deployment, each market is initialized with a hardcoded initialMintAmount of 1e18.
For tokens with units smaller than 1e18, the deployer cannot provide such a large initial amount, causing minting (and deployment) to fail."
319,2b7ce0d78309,Medium,Bridge,Incorrect Parameter,"During deployment, an incorrect address was set as the Wormhole Core contract address. This address has no corresponding contract deployed on the Base mainnet.
impact: The TemporalGovernor contract will revert when executing parseAndVerifyVM through this address. Since the contract cannot execute proposals, the initialization tokens held internally (used to prevent immediate market attacks) cannot be transferred or utilized and become locked. Additionally, the entire TemporalGovernor contract becomes non-functional, unable to accept or execute proposals."
320,2b7ce0d78309,Medium,Bridge,Incorrect Parameter,"The chainId for Base mainnet was set incorrectly.
Deployment is invalid and requires redeployment."
321,2b7ce0d78309,Medium,"DoS, Liquidation",Missing Functionality, Exception handling logic for deprecated markets was not implemented.Deprecated markets cannot be liquidated.
322,2b7ce0d78309,Medium,Access Control,State Update Inconsistency,"Accumulated but unclaimed rewards for suppliers and borrowers were not distributed before the admin replaced the reward distribution contract.
Once the replacement occurs, users' previously accumulated rewards may become permanently unclaimable."
323,2b7ce0d78309,Medium,DoS,Hardcoded Parameter,"When executing lending operations, the current borrowRateMantissa is calculated based on the utilizationRate. If this interest rate exceeds borrowRateMaxMantissa, the contract will forcibly revert.
impact: If reserves > cash, it will cause utilizationRate > 1, making borrowRateMantissa > borrowRateMaxMantissa and triggering a revert. User funds become locked and cannot be withdrawn or used to repay debts."
324,2b7ce0d78309,Medium,Arithmetic,"Hardcoded Parameter, Token Decimal","When the contract sets reward tokens for different mTokens, it restricts the reward speed to not exceed 100 * 1e18.
Different reward tokens have different decimals, making it impossible to fairly limit the reward speed (< 18 → reward distribution limit is greater than expected; > 18 → reward distribution becomes nearly impossible to execute)."
325,2b7ce0d78309,Medium,Arithmetic,"Does not match with Doc, Incorrect Parameter","The borrowRateMaxMantissa setting was not adjusted for specific chains.
On chains with shorter block times, extremely high annualized borrowing interest rates are allowed."
326,1aee004bafff,High,"EIP712, Governance, Replay Attack",Nonce,"castVoteWithReasonAndParamsBySig allows others to vote on behalf of a user via signature, but the signed data does not include a nonce. An attacker can reuse the same signature multiple times, concentrating a user’s votes on a specific candidate and manipulating election results."
327,1aee004bafff,Medium,Governance,"Centralization Risk, Invalid Validation","The relay allows the contract owner to modify fullWeightDuration or votingPeriod without checking for ongoing proposals, enabling election parameters to be changed mid-vote.The contract owner can influence voting outcomes—for example, increasing fullWeightDuration so that late voters gain disproportionately higher weight."
328,1aee004bafff,Medium,Arithmetic,Does not match with Doc,"When calculating the next election date, firstNominationStartDate.day is used directly without accounting for differences in the number of days between months.
 The election interval can be extended to more than six months."
329,1aee004bafff,Medium,Upgradeable,"Missing Initialization, Not EIP Compliant",GovernorUpgradeable & EIP712Upgradeable contracts remain uninitialized.
330,1aee004bafff,Medium,"Access Control, DAO, Governance",Centralization Risk,"Lack of a tracking mechanism for removed members, and the authority to add new members is entirely controlled by the Security Council. A member can be re-added within the same lifecycle even after being voted out by the DAO. "
331,1aee004bafff,Medium,"DAO, Input Validation","Implementation Error, Invalid Validation, State Update Inconsistency","SecurityCouncilManager, when replacing cohort members, deletes the old cohort and adds new members without checking for ongoing elections, allowing the same member to exist simultaneously in both the old and new cohort.During elections, a member might be elected to the new cohort while still part of the old cohort, causing governance confusion and disrupting the democratic process."
332,b2ae5242870b,High,"Cross-Chain, Replay Attack",State Update Inconsistency,"The lack of chain ID verification and final owner protection allows the removeOwnerAtIndex call to be replayed and executed on different chains, mistakenly removing different owners at the specified index, and even potentially removing the only owner."
333,b2ae5242870b,Medium,DoS,Bad Condition,"During the validation process of MagicSpend.validatePaymasterUserOp(), only a single withdrawAmount check against the contract’s balance is performed. However, when multiple UserOps are batched in EntryPoint, the single-balance check cannot ensure that the total requested funds do not exceed the contract balance. When EntryPoint executes multiple UserOps() in a batch, if the total requested funds exceed the MagicSpend contract balance, subsequent postOp() executions will fail due to insufficient funds, leading to transaction reverts."
334,b2ae5242870b,Medium,DoS,"Front Run, Nonce","MagicSpend.validatePaymasterUserOp() and MagicSpend.withdraw()  use the same signature. Malicious users can submit a transaction via the paymaster and then front-run with a withdraw() call, causing validatePaymasterUserOp() to revert because the nonce has already been consumed."
335,289d8258d7b3,High,"Input Validation, Liquidation",Invalid Validation,"The V3Vault does not check the token address in the permit2 signature, allowing attackers to withdraw USDC from the vault using any ERC20 approval."
336,289d8258d7b3,High,Reentrancy,Violating CEI / Missing nonReentrant,"onERC721Received calls _cleanupLoan to perform external NFT transfers before completing core state updates, violating the CEI pattern.
"
337,289d8258d7b3,High,Input Validation,Invalid Validation,"The transform() function of V3Vault does not verify the ownership of the tokenId in the data parameter, allowing attackers to manipulate and tamper with the NFT positions of other depositors."
338,289d8258d7b3,High,"Access Control, Input Validation","Asset Theft, Invalid Validation","V3Utils.execute() lacks caller verification, allowing anyone with authorization to steal the entire liquidity of another person's Uniswap V3 NFT position."
339,289d8258d7b3,High,"Arithmetic, Oracle, Uniswap",Rounding Error,"If tickCumulatives[1] - tickCumulatives[0] is negative and ((tickCumulatives[1] - tickCumulatives[0]) % twapSeconds) does not equal zero, then the returned tick will be larger than its correct value."
340,289d8258d7b3,High,DoS,onERC721Received callback,"Malicious holders can exploit the onERC721Received callback by returning an invalid value, leading to a revert."
341,289d8258d7b3,Medium,Input Validation,Bypass Mechanism,"_updateAndCheckCollateral() only checks collateral limits during borrowing, allowing attackers to bypass the checks and exceed the collateral limits set by the protocol through the process of 'deposit → borrow → immediately withdraw."
342,289d8258d7b3,Medium,"DoS, ERC721",onERC721Received callback,"Attackers can trigger a malicious onERC721Received callback to consume gas during the AutoRange::execute()process, forcing a revert and leading to continuous consumption of protocol fees and a DoS scenario for the contract."
343,289d8258d7b3,Medium,Liquidation,No Incentive to Liquidate,The protocol lacks minLoanSize check.There will be no incentive for liquidators to liquidate small underwater positions given the gas cost.
344,289d8258d7b3,Medium,DoS,Front Run,"Due to interest updates occurring only once per block, borrowers can take and repay loans within the same block without accruing interest, enabling arbitrage and low-cost DoS attacks that block other users from borrowing."
345,289d8258d7b3,Medium,Accounting Error,State Update Inconsistency,"V3Vault’s setReserveFactor updates the reserve factor without first updating global interest rates, causing the new reserve factor to retroactively affect lending rates and potentially create unexpected or unfair borrow/supply rates."
346,289d8258d7b3,Medium,Logic Error,"Implementation Error, Incorrect Parameter","Due to an off-by-one-style miscalculation in _resetDailyLendIncreaseLimit and _resetDailyDebtIncreaseLimit, users can deposit or borrow up to ~110% of allowed daily limits instead of being correctly constrained, effectively bypassing the protocol’s daily asset limits."
347,289d8258d7b3,Medium,Arithmetic,Token Decimal,"When referenceTokenDecimals is 18 chainlinkPriceX96 is higher than some threshold between 18 and 19 (in Q96 notation), it will cause arithmetic overflow."
348,289d8258d7b3,Medium,Logic Error,State Update Inconsistency,"dailyLendIncreaseLimitLeft and dailyDebtIncreaseLimitLeft are not correctly adjusted when _withdraw or _repayare called before a deposit/borrow in the same day, causing the protocol to incorrectly enforce daily limits and allowing users to bypass intended daily restrictions."
349,289d8258d7b3,Medium,Liquidation,Incorrect Parameter,"Liquidation rewards are sent to msg.sender instead of the intended recipient specified in LiquidateParams, breaking composability and potentially redirecting incentives."
350,289d8258d7b3,Medium,Pause,No Recovery Mechanism,"When an AutoCompoundVault is deactivated, users’ tokens can become stuck because withdrawLeftoverBalances relies on the vault being active to determine ownership."
351,289d8258d7b3,Medium,Liquidation,Unfair Liquidation,"_checkLoanIsHealthy lacks a safety buffer, allowing borrowers at the maximum loan limit to be unfairly liquidated due to minor market fluctuations."
352,289d8258d7b3,Medium,Logic Error,Incorrect Parameter,"_deposit checks totalSupply() instead of converting to assets, allowing users to exceed the global lending limit."
353,289d8258d7b3,Medium,Access Control,Invalid Validation,"The execute() uses the old configuration from positionConfigs[tokenId] without verifying that the configuration was set by the current NFT owner, potentially allowing users to execute the token settings of the previous owner."
354,289d8258d7b3,Medium,ERC4626,Not EIP Compliant,V3Vault is not ERC-4626 compliant
355,289d8258d7b3,Medium,"DoS, Input Validation",Invalid Validation,"Anyone can call a repayment operation with a value of 0, leading to the incorrect removal of newly created user positions and resulting in asset loss."
356,289d8258d7b3,Medium,"DoS, Liquidation",Liquidation - Dust repay / front run evade liquidation,"Both repay and liquidate calls will fail if the amount of shares that the transaction attempts to repay exceeds the outstanding debt shares of the position, with RepayExceedsDebt and DebtChanged errors respectively."
357,289d8258d7b3,Medium,Accounting Error,Incorrect Parameter,"In onlyFees mode, feeAmount should be calculated based solely on the fees, but it actually includes liquidity assets withdrawn from a previous decreaseLiquidity() call. This results in an overestimation of reward calculations, causing holders to pay more rewards than expected."
358,289d8258d7b3,Medium,Logic Error,"Bad Condition, Price Manipulation / Arbitrage opportunity, Unfair Liquidation","The TWAP verification logic in AutoRange and AutoExit is overly strict, resulting in a scenario where users are unable to exit their positions for stop-loss purposes even if they opt not to perform a swap. This forces assets to be locked during periods of high market volatility."
359,289d8258d7b3,Medium,Chainlink,Price Manipulation / Arbitrage opportunity,"V3Oracle uses the manipulable spot price to derive the number of position tokens, meaning that even if the price is verified by the oracle, the valuation calculation can still be distorted."
360,289d8258d7b3,Medium,"DoS, Liquidation",Bad Condition,"When the admin sets the collateralFactor of a token to 0 to remove its collateral eligibility, the liquidation process will have collateralValue calculated as 0. This ultimately leads to the liquidation logic reverting due to division by 0, rendering the associated loans permanently unliquidatable."
361,289d8258d7b3,Medium,Slippage,Missing deadline,Dangerous use of deadline parameter
362,289d8258d7b3,Medium,Liquidation,"Does not match with Doc, State Update Inconsistency","liquidate() does not update dailyDebtIncreaseLimitLeft after repaying the debt (liquidation), which prevents the re-borrowing data from being released. Over time, this accumulation can lead to a decrease in vault utilization and inconsistency with the logic of repay()."
363,289d8258d7b3,Medium,MEV,"Bypass Mechanism, Front Run","Users can front-run the operator's transaction execution by altering the onlyFees , changing the fee model from being based on the entire position to being calculated solely on fees. This reduces the fee percentage that the protocol can charge, resulting in a loss of revenue for the protocol."
364,289d8258d7b3,Medium,Liquidation,Does not match with Doc,"_calculateLiquidation() calculates the liquidator's income as 10% of the fullValue instead of 10% of the debt during underwater liquidations. This leads to insufficient liquidation incentives when assets are below the debt, undermining the fair liquidation mechanism designed by the protocol."
365,289d8258d7b3,Medium,Oracle,Incorrect Parameter,"The priceX96 is obtained by calling _getReferencePoolPriceX96(pool, 0); which returns slot zero price, while the derivedPoolPriceX96 is the price to be verified.

The problem is when priceX96 < verifyPriceX96, the difference in % is obtained by dividing the difference by verifyPriceX96 which will return a lower value
Instance"
366,57feee7d5701,High,"Input Validation, Liquidation",Invalid Validation,"The same vault can be added to both the general and Kerosene lists, causing its collateral value to be double-counted, which inflates the collateral ratio and enables borrowers to take on excessive debt."
367,57feee7d5701,High,"Liquidation, Logic Error",Cannot partial liquidations,"Partial liquidations cannot be performed and prevents liquidators from liquidating DYAD minted by whales that hold huge positions in the system. Since the liquidations cannot be performed unless the liquidator can match up to the collateral deposited and DYAD minted by the whale, the system will be undercollaterized causing bad debt to accrue.

"
368,57feee7d5701,High,DoS,Front Run,Attacker can frontrun a deposit request with amount 0 to block the withdraw reqeust
369,57feee7d5701,High,"DoS, Input Validation",Invalid Validation,"An attacker can grief any token ID by depositing a dust amount in the same block, triggering the DepositedInSameBlock check and causing a denial-of-service on withdrawals."
370,57feee7d5701,High,DoS,Missing Functionality,"Users’ funds deposited into the unbounded Kerosene vault become permanently locked due to missing decimals() support, preventing withdrawals."
371,57feee7d5701,High,DoS,Bad Condition,"Withdraw checks wrongly apply to Kerosene assets, causing deposited Kerosene to become permanently locked and unwithdrawable."
372,57feee7d5701,High,"DoS, Liquidation",Bad Condition,"Liquidation reverts when non-kerosene collateral is insufficient, due to missing exogenous collateral checks in VaultManagerV2::liquidate."
373,57feee7d5701,High,DoS,Bad Condition,Kerosene deposits are stuck in the unbounded vault due to assetPrice underflow when TVL is less than total DYAD supply.
374,57feee7d5701,High,Liquidation,Implementation Error,"Kerosene collateral is not transferred to the liquidator during full liquidation, causing the liquidator to incur a loss."
375,57feee7d5701,High,"Flashloan, Liquidation",Bypass Mechanism,"Users can bypass the system's flashloan protection by self-liquidating and moving collateral within the same block, enabling repeated exploitation without immediate detection."
376,57feee7d5701,Medium,Logic Error,Does not match with Doc,"The liquidation bonus is miscalculated, causing liquidators to receive insufficient collateral, weakening liquidation incentives and increasing system risk."
377,57feee7d5701,Medium,Liquidation,No Incentive to Liquidate,"If cr drops below 1e18, no one will have incentive to liquidate others."
378,57feee7d5701,Medium,DoS,Missing Initialization,"setUnboundedKerosineVault was never called during deployment, causing the bounded vault to inevitably revert when attempting to query the value of kerosene"
379,57feee7d5701,Medium,Liquidation,No Incentive to Liquidate,"When this borrow position is at risk of liquidation due to insufficient collateral, the kerosene liquidated will be bought at two fold the normal price."
380,57feee7d5701,Medium,Liquidation,No Incentive to Liquidate,No incentive to liquidate small positions could result in protocol going underwater
